Region Description,Sort Order,Link
Auckland Central & South,1,https://www.powerswitch.org.nz/results/ZWoleYwBED
Auckland North & West,2,https://www.powerswitch.org.nz/results/bvEMNYOJmj
Canterbury,3,https://www.powerswitch.org.nz/results/vREeNVjGmn
Wellington,4,https://www.powerswitch.org.nz/results/OYkvpNJeEV
Dunedin,5,https://www.powerswitch.org.nz/results/RZkGywPPEq
Counties,6,https://www.powerswitch.org.nz/results/MOkPdKPDkv
Wairarapa,7,https://www.powerswitch.org.nz/results/wJmQaGQrmq
Tauranga,8,https://www.powerswitch.org.nz/results/XKERdjJJkR
Kapiti & Horowhenua,9,https://www.powerswitch.org.nz/results/dyEKgGrlEr
Manawatu,10,https://www.powerswitch.org.nz/results/ewEWKBNvEb
Hamilton,11,https://www.powerswitch.org.nz/results/vREeNvgOmn
Rotorua,12,https://www.powerswitch.org.nz/results/bVmqzaQpkw
East Waikato & Coromandel,13,https://www.powerswitch.org.nz/results/BQEdYVgxmG
Hawkes Bay,14,https://www.powerswitch.org.nz/results/YVkLLQzGkz
North Canterbury,15,https://www.powerswitch.org.nz/results/ABkYdRNwme
Taranaki,16,https://www.powerswitch.org.nz/results/jloXwABnkw
Northland,17,https://www.powerswitch.org.nz/results/RZkGyRKJEq
Queenstown,18,https://www.powerswitch.org.nz/results/jqonXKDgmA
Southland,19,https://www.powerswitch.org.nz/results/PwoZDGrMmB
Marlborough,20,https://www.powerswitch.org.nz/results/BQEdYVOYmG
Central Otago,21,https://www.powerswitch.org.nz/results/JekBawbamw
Invercargill & Bluff,22,https://www.powerswitch.org.nz/results/ZWolOJdqkD
Tasman,23,https://www.powerswitch.org.nz/results/PLEJNGKYEn
Rangitikei & Hawera,24,https://www.powerswitch.org.nz/results/MOkPdGQDkv
East Otago,25,https://www.powerswitch.org.nz/results/BpEyAdXyEY
Wanganui,26,https://www.powerswitch.org.nz/results/YVkLLQbOkz
Waipa District,27,https://www.powerswitch.org.nz/results/BpEyAdOnEY
Taupo,28,https://www.powerswitch.org.nz/results/MOkPdGzRkv
South Canterbury,29,https://www.powerswitch.org.nz/results/jqmnBxYdmA
Mid Canterbury,30,https://www.powerswitch.org.nz/results/PwoZDOjBmB
Far North,31,https://www.powerswitch.org.nz/results/wJmQaGjBmq
Nelson City,32,https://www.powerswitch.org.nz/results/PbEpzJXykN
Waitaki,33,https://www.powerswitch.org.nz/results/ZvkVNMKgka
Eastland,34,https://www.powerswitch.org.nz/results/PwoZDORrmB
Eastern Bay of Plenty,35,https://www.powerswitch.org.nz/results/ABkYdRAQme
Westland,36,https://www.powerswitch.org.nz/results/LZEAawKJEw
Scanpower,37,https://www.powerswitch.org.nz/results/zZkDzPRWED
Centralines,38,https://www.powerswitch.org.nz/results/ZvkVvZblka
Buller,39,https://www.powerswitch.org.nz/results/WPmwxKYNkl
The Lines Company (King Country),40,https://www.powerswitch.org.nz/results/QrorbMJBoe
